encryption_enabled,loss,accuracy,timestamp
True,2.0185911754134356,0.2248,2025-08-22 11:27:33
True,2.0575168512429403,0.2128,2025-08-22 11:27:33
True,2.2913065715959875,0.1404,2025-08-22 11:27:35
True,2.2933106817257634,0.1424,2025-08-22 11:27:35
True,2.2029754599188545,0.1714,2025-08-22 11:27:44
True,2.0600347723930503,0.2144,2025-08-22 11:27:45
True,2.1837086548471145,0.1546,2025-08-22 11:27:46
True,2.1878784803827855,0.1458,2025-08-22 11:27:46
True,2.1663600897333426,0.1562,2025-08-22 11:27:56
True,2.2914887704667013,0.1068,2025-08-22 11:27:56
True,2.2296094499575863,0.143,2025-08-22 11:27:58
True,2.233542299574348,0.1352,2025-08-22 11:27:58
True,2.013045062684709,0.251,2025-08-22 11:36:51
True,2.0292863337097655,0.2114,2025-08-22 11:36:51
True,2.2160035591975897,0.1482,2025-08-22 11:36:53
True,2.2176492563478507,0.1458,2025-08-22 11:36:53
True,2.010464862653404,0.2366,2025-08-22 11:37:03
True,2.0675214255691334,0.2248,2025-08-22 11:37:03
True,2.0544298522791284,0.2186,2025-08-22 11:37:05
True,2.0406049588683306,0.2078,2025-08-22 11:37:05
True,1.9981496022765044,0.2472,2025-08-22 11:37:16
True,1.969485339845062,0.241,2025-08-22 11:37:16
True,2.0016247474463884,0.2138,2025-08-22 11:37:18
True,1.9986670981546877,0.2082,2025-08-22 11:37:18
True,2.0947718984761816,0.1844,2025-08-22 11:37:50
True,2.0788007929066943,0.2038,2025-08-22 11:37:50
True,2.319666139639107,0.102,2025-08-22 11:37:52
True,2.308068205596535,0.1132,2025-08-22 11:37:52
True,1.9860341009820344,0.2308,2025-08-22 11:38:04
True,2.0268199739942125,0.2434,2025-08-22 11:38:04
True,2.0145379016353826,0.2244,2025-08-22 11:38:06
True,2.0114375702135123,0.2238,2025-08-22 11:38:06
True,2.051829167991687,0.2318,2025-08-22 11:38:18
True,2.3039264223378177,0.1058,2025-08-22 11:38:18
True,2.3770126643454192,0.1084,2025-08-22 11:38:20
True,2.384628625432397,0.1078,2025-08-22 11:38:20
True,2.0577635909341705,0.24,2025-08-22 11:38:56
True,1.9823999974378355,0.2388,2025-08-22 11:38:57
True,2.2212809468530548,0.1432,2025-08-22 11:38:58
True,2.2190646988571068,0.1456,2025-08-22 11:38:58
True,2.032757741630457,0.212,2025-08-22 11:39:10
True,2.0469920566886852,0.2152,2025-08-22 11:39:10
True,2.086191776451791,0.1746,2025-08-22 11:39:12
True,2.0816674384341876,0.1812,2025-08-22 11:39:12
True,2.0371409844441017,0.2202,2025-08-22 11:39:24
True,1.987515200475219,0.2346,2025-08-22 11:39:24
True,2.0278442042648415,0.2168,2025-08-22 11:39:27
True,2.0459156491953854,0.189,2025-08-22 11:39:27
True,2.1577780026539117,0.2148,2025-08-22 11:40:16
True,2.1435497444906053,0.1922,2025-08-22 11:40:16
True,2.280852366404928,0.0974,2025-08-22 11:40:18
True,2.272002062220482,0.1104,2025-08-22 11:40:18
True,2.0246073402416935,0.2404,2025-08-22 11:40:29
True,2.043964765633747,0.2234,2025-08-22 11:40:30
True,2.052207829086644,0.187,2025-08-22 11:40:32
True,2.0316841283421607,0.2016,2025-08-22 11:40:32
True,2.113608623765836,0.1912,2025-08-22 11:40:44
True,2.077222039745112,0.239,2025-08-22 11:40:44
True,2.047021812694088,0.225,2025-08-22 11:40:46
True,2.05078019533947,0.217,2025-08-22 11:40:46
True,2.087117478346369,0.2182,2025-08-22 11:42:27
True,2.173503091380854,0.2,2025-08-22 11:42:28
True,2.2292390036734804,0.1374,2025-08-22 11:42:30
True,2.2284532200758624,0.1424,2025-08-22 11:42:30
True,1.9822129778041961,0.2564,2025-08-22 11:42:45
True,2.077648621455879,0.2264,2025-08-22 11:42:45
True,2.100028291629378,0.23,2025-08-22 11:42:47
True,2.0946344273864845,0.2356,2025-08-22 11:42:47
True,2.0896281717689176,0.203,2025-08-22 11:43:27
True,2.072198608119017,0.1876,2025-08-22 11:43:27
True,2.178064182305792,0.1546,2025-08-22 11:43:28
True,2.178321057823813,0.1618,2025-08-22 11:43:29
True,2.1412527933242216,0.1856,2025-08-22 11:43:38
True,2.0307236894680436,0.2058,2025-08-22 11:43:39
True,2.118737792513173,0.1752,2025-08-22 11:43:40
True,2.1104376543859007,0.1706,2025-08-22 11:43:40
True,2.090673522584757,0.1862,2025-08-22 11:43:50
True,2.0659725187690396,0.2038,2025-08-22 11:43:50
True,2.0737374474288552,0.1988,2025-08-22 11:43:52
True,2.067865202381353,0.1942,2025-08-22 11:43:52
True,2.052785733702836,0.2124,2025-08-22 11:48:18
True,2.056809402575159,0.203,2025-08-22 11:48:18
True,2.2884520679522473,0.1212,2025-08-22 11:48:19
True,2.2871531513845844,0.1342,2025-08-22 11:48:19
True,2.095143423718252,0.1964,2025-08-22 11:48:28
True,2.358221547618793,0.1438,2025-08-22 11:48:29
True,2.1371320934052678,0.182,2025-08-22 11:48:30
True,2.129844853073169,0.187,2025-08-22 11:48:30
True,2.1761654881155414,0.1686,2025-08-22 11:48:41
True,2.286858775813109,0.1154,2025-08-22 11:48:41
True,2.2881305005140367,0.1112,2025-08-22 11:48:43
True,2.2879971653033215,0.1128,2025-08-22 11:48:43
True,2.1637323335477503,0.1872,2025-08-22 11:49:33
True,2.057449805508753,0.2182,2025-08-22 11:49:33
True,2.1434567513739227,0.1834,2025-08-22 11:53:35
True,2.1034178293434675,0.1714,2025-08-22 11:53:35
True,2.1442269777796072,0.167,2025-08-22 11:53:36
True,2.144827311206016,0.1726,2025-08-22 11:53:36
True,2.030371440444023,0.239,2025-08-22 11:53:47
True,2.080906043386763,0.1684,2025-08-22 11:53:48
True,2.1168970955405264,0.1832,2025-08-22 11:53:51
True,2.1449932930575812,0.1724,2025-08-22 11:53:51
True,2.0256497541051,0.2036,2025-08-22 11:54:28
True,2.079777867171415,0.196,2025-08-22 11:54:29
True,2.254487001212539,0.1332,2025-08-22 11:54:30
True,2.252754736857809,0.1398,2025-08-22 11:54:30
True,2.0944730741962507,0.2004,2025-08-22 11:54:40
True,2.0347380789981524,0.233,2025-08-22 11:54:41
True,2.1187585273366065,0.1748,2025-08-22 11:54:42
True,2.1000734711908233,0.1944,2025-08-22 11:54:42
True,2.04270556853835,0.2538,2025-08-22 11:54:55
True,2.0981320780553636,0.1972,2025-08-22 11:54:55
True,2.052288003028578,0.2096,2025-08-22 11:54:57
True,2.058028239353447,0.2044,2025-08-22 11:54:57
True,2.0676941218649505,0.2084,2025-08-22 11:56:10
True,2.060483085122078,0.1974,2025-08-22 11:56:10
True,2.1509186803914937,0.171,2025-08-22 11:56:12
True,2.14896611195461,0.1752,2025-08-22 11:56:12
True,2.1660999841750805,0.1622,2025-08-22 11:56:24
True,2.296565239596519,0.1406,2025-08-22 11:56:24
True,2.1785650374783074,0.1706,2025-08-22 11:56:26
True,2.173858997928109,0.1774,2025-08-22 11:56:26
True,2.1701211344664264,0.1696,2025-08-22 11:57:11
True,2.0742444870578254,0.2038,2025-08-22 11:57:11
True,2.2767856728499103,0.1256,2025-08-22 11:57:13
True,2.2744954695367507,0.125,2025-08-22 11:57:13
True,2.013412188572489,0.234,2025-08-22 11:57:24
True,2.1912639376464162,0.1924,2025-08-22 11:57:24
True,2.1175992633127105,0.2002,2025-08-22 11:57:26
True,2.132116301044537,0.1918,2025-08-22 11:57:26
True,2.032698453611629,0.2422,2025-08-22 11:58:10
True,2.088043389806322,0.2234,2025-08-22 11:58:10
True,2.162953773121925,0.1864,2025-08-22 11:58:12
True,2.1586783357486605,0.1898,2025-08-22 11:58:12
True,2.0391579524726624,0.2054,2025-08-22 11:58:22
True,2.0947727496456947,0.216,2025-08-22 11:58:22
True,2.131917647495391,0.228,2025-08-22 11:58:24
True,2.143015409730802,0.2108,2025-08-22 11:58:24
True,2.204622005960744,0.1706,2025-08-22 11:58:33
True,2.0335951580363476,0.2254,2025-08-22 11:58:34
True,2.0490514100736874,0.1964,2025-08-22 11:58:35
True,2.055279948908812,0.1902,2025-08-22 11:58:35
True,2.1788495154607865,0.20695860827834434,2025-08-22 12:05:57
True,2.117964668500991,0.17696460707858427,2025-08-22 12:05:58
True,2.1941178537550425,0.1964607078584283,2025-08-22 12:06:01
True,2.3438180741809664,0.1259748050389922,2025-08-22 12:06:02
True,2.344581324713571,0.129874025194961,2025-08-22 12:06:02
True,1.990060261317662,0.2558488302339532,2025-08-22 12:06:12
True,2.031315937496367,0.23215356928614278,2025-08-22 12:06:13
True,2.034666707402184,0.2429514097180564,2025-08-22 12:06:13
True,2.19642676285335,0.1895620875824835,2025-08-22 12:06:15
True,2.198543643951416,0.20095980803839233,2025-08-22 12:06:15
True,2.037071623120989,0.2435512897420516,2025-08-22 12:06:26
True,2.030689649354844,0.23155368926214756,2025-08-22 12:06:26
True,2.0020285481498354,0.25824835032993404,2025-08-22 12:06:27
True,2.1025515068145024,0.21205758848230355,2025-08-22 12:06:28
True,2.1145687387103127,0.21265746850629874,2025-08-22 12:06:28
True,2.088246637848532,0.187,2025-08-22 12:07:27
True,2.055867515551816,0.2052,2025-08-22 12:07:28
True,2.327599441929228,0.1198,2025-08-22 12:07:30
True,2.312297117937902,0.1198,2025-08-22 12:07:30
True,2.1129615132216437,0.1906,2025-08-22 12:07:44
True,2.1418491207110653,0.1672,2025-08-22 12:07:45
True,2.1189758739653666,0.175,2025-08-22 12:07:47
True,2.125307499982749,0.176,2025-08-22 12:07:47
True,2.301129760256239,0.118,2025-08-22 12:08:03
True,2.177199935457509,0.1648,2025-08-22 12:08:04
True,2.166841435584293,0.1534,2025-08-22 12:08:07
True,2.166817531464206,0.1462,2025-08-22 12:08:07
True,2.0880500723601907,0.1912,2025-08-22 12:16:30
True,2.055783435037941,0.2274,2025-08-22 12:16:31
True,2.206626463847555,0.1334,2025-08-22 12:16:33
True,2.2121226514220997,0.1238,2025-08-22 12:16:33
True,2.104831142030704,0.195,2025-08-22 12:16:50
True,2.1463703547313715,0.171,2025-08-22 12:16:51
True,2.1780708580260066,0.1604,2025-08-22 12:16:54
True,2.183282817245289,0.1608,2025-08-22 12:16:54
True,2.0377110303587216,0.234,2025-08-22 12:17:13
True,2.0572017059204684,0.2024,2025-08-22 12:17:13
True,2.0121848697115663,0.197,2025-08-22 12:17:17
True,1.9967974750858963,0.2092,2025-08-22 12:17:18
True,2.0624758179780023,0.2294,2025-08-22 12:18:32
